CN100000	一种服务器备用电源及服务器电源
CN100078	一种75W-90黏度级别城轨齿轮箱专用油组合物
CN100079	一种带有稳压电源的电脑支架
CN100080	一种高通用性的心电数据压缩感知系统、终端和存储介质
CN100081	一种心电信号数据的分类方法和装置
CN100082	酚类衍生物及其制备方法、用途
CN100083	一种基于心跳间期的睡眠呼吸暂停自动检测方法及装置
CN100084	润滑油组合物、和润滑油组合物的使用方法
CN100085	一种结合希尔伯特曲线和集成学习的心电磁信号分类方法
CN100086	一种双电源电压跨导校准低功耗的低噪声放大器
CN100087	一种动态心电图数据分析方法
CN100088	基于多模型集成的心电信号危急值的预测方法及装置
CN100089	一种基于多模态注意力融合的高血压老年人活动分析方法
CN100090	一种酯类化合物及其制备方法、用途
CN100091	一种清水混凝土用改性油性脱模剂及其制备方法
CN100092	高氧化稳定性的气缸润滑油组合物
CN100093	超低温重负荷车辆齿轮油组合物
CN100094	一种包含共模反馈电路的低噪声全差分放大器
CN100095	一种零间隙无级变速器用牵引油
CN100096	一种心电数据处理方法及装置
CN100097	存储介质的供电系统及方法
CN100098	一种润滑油及其制备方法
CN100099	掉电保护方法、装置、电源监控组件以及服务器
CN100100	一种GPU服务器的电源冗余控制系统、方法及介质
CN100101	一种基于多元递归网络的心脏疾病识别方法
CN100102	一种供电电源和服务器
CN100103	重构心源性猝死风险因子的系统及方法
CN100104	一种基于Kernel-CNN的心电信号识别分类方法
CN100105	一种基于旁路模式的低噪声放大器电路
CN100106	运算放大器
CN100107	一种心搏组合特征散点图生成方法、终端设备及存储介质
CN100108	基于CNN神经网络的急性心肌梗死定性自动判别系统
CN100109	一种应用于包络跟踪电源调制器的降频采样与控制电路
CN100110	一种空气压缩机油组合物及其制备方法
CN100111	一种基于物联网的建筑结构应变无线监测系统
CN100112	一种服务器对外供电符合受限制电源的系统
CN100113	一种工业齿轮箱清洗油组合物
CN100114	一种基于多通道动态监测的呼吸指数提取系统及工作方法
CN100115	一种面向LNA提升增益且降噪的电路
CN100116	一种润滑油组合物及其应用
CN100117	一种钙基润滑脂及其制备方法
CN100118	一种基于图总变分约束的无创心脏电生理反演方法
CN100119	一种基于贝叶斯先验概率的心率融合标注方法及其系统
CN100120	一种环保无钡型薄层防锈油及其制备方法和应用
CN100121	一种宽带、高线性度射频低噪声放大器
CN100122	透平油以及透平油的使用方法
CN100123	离子液体组合物及其制备方法
CN100124	基于心脏标测激动序列图的房颤分析预测方法
CN100125	一种血压分类方法和装置
CN100126	计算机系统及电源管理方法
CN100127	一种用于天然气泄漏激光检测系统的多源噪声抑制电路
CN100128	X波段400W功放
CN100129	一种螺杆压缩机油及其制备方法
CN100130	一种基于单导联的心电信号自动分类方法
CN100131	心电信号实时分类方法、装置及可读存储介质
CN100132	基于改进EMD与阈值法融合的心电信号去噪方法
CN100133	射频接收系统和输出三阶交调点OIP3校准方法
CN100134	润滑剂及其制备方法，以及降低流体粘度的方法
CN100135	一种光电微电子信号补偿设备
CN100136	一种待刷新设备的供电电路及服务器
CN100137	一种5G通信抗失配宽带低噪声放大器
CN100138	高效大功率隔离调光信号放大电路
CN100139	一种应用于生物电势处理的自反馈低噪声放大器
CN100140	基于高频心电的心脏交感活性检测装置
CN100141	一种多频段信号放大器
CN100142	一种高效加工长寿命高清高压液压油的装置及方法
CN100143	一种面向心电数据的数据处理系统
CN100144	一种抗微点蚀风电齿轮油及其制备方法
CN100145	心肌病的辅助诊断设备、装置和计算机可读存储介质
CN100146	一种车用低温举升油及其制备方法
CN100147	一种数据处理方法、装置及计算机存储介质和电子设备
CN100148	一种自适应可变增益延时放大器
CN100149	一种NVDIMM兼容超级电容的方法及装置
CN100150	供电方法和供电系统
CN100151	一种实时评估室颤信号质量和除颤成功率的方法与仪器
CN100152	控制电路及操作系统
CN100153	心电图数据的分割处理方法、装置及可读存储介质
CN100154	掉电数据保护方法及终端
CN100155	一种基于投票集成学习的心电数据智能分类方法
CN100156	接收器前端电路及其运作方法
CN100157	电源缓启动的控制方法、控制装置、控制设备及存储介质
CN100158	一种室性并行心律快速识别的方法以及装置
CN100159	心电图数据处理方法、装置、电子设备及计算机可读介质
CN100160	一种高灵敏度超宽带超级跨阻放大器
CN100161	一种变速箱油及其制备方法和应用
CN100162	一种柴油机油组合物及其制备方法
CN100163	一种双酯基础油及其制备方法
CN100164	基于低秩与稀疏约束和非局部全变分的无创心脏电位重建方法
CN100165	异常生产状态监测方法、装置、电子设备和介质
CN100166	一种结合医疗领域知识的可解释心律失常分类方法
CN100167	一种不间断电源
CN100168	一种低噪声高线性度驱动放大电路
CN100169	一种驾驶员疲劳检测装置及工作方法
CN100170	一种基于双向连通的心电波形提取方法
CN100171	基于深度卷积神经网络的ECG分类系统与方法
CN100172	一种汽车安全气囊用润滑脂及其制备方法
CN100173	低噪声放大器和电子设备
CN100174	融合源端影响的三心拍多模型综合决策心电特征分类方法
CN100175	针对锂离子和混合式电容器的自适应充电电压管理装置
CN100176	电源装置、电源电路的控制方法及存储装置
CN100177	用于齿轮油的润滑剂组合物
CN100178	ECG显示滤波方法、装置及存储介质
CN100179	一种全合成酯类摩托车油及其制备方法
CN100180	基于改进损失函数的神经网络的心律类型识别方法和装置
CN100181	接收器和低噪声放大器
CN100182	射频集成电路、接收器和控制接收器的方法
CN100183	一种惯性传感器零偏温度补偿方法
CN100184	一种应用于GNSS双频接收机的宽带低噪声放大器
CN100185	一种混合动力发动机润滑油组合物
CN100186	计算机实施方法、计算装置及计算机可读取储存介质
CN100187	卫星综合电子计算机自主切机方法
CN100188	心电波形数据处理方法及装置
CN100189	基础油及润滑油
CN100190	多导联心电信号卷积神经网络分类方法及其使用方法
CN100191	前置放大器
CN100192	可降解型轮轨减磨成膜膏及制备方法
CN100193	基于机器学习和生理信号的情绪识别模型构建方法及系统
CN100194	低噪声比较器的预放大器电路及低噪声比较器
CN100195	一种基于运放失调补偿的相关双采样电路
CN100196	一种基于多级姿态识别分类模型的心电图防误判方法
CN100197	一种可重构超宽带功放谐波抑制电路
CN100198	多跨阻恒定带宽超低噪声TIA
CN100199	基于多微处理器结构的时序控制器
CN100200	基于奇异谱分析和变分模态分解的心电信号去基线漂移方法
CN100201	一种用于润滑油的星形黏度指数改进剂及其制备方法
CN100202	基于不对称性心动周期变化的素质能力量化评价方法
CN100203	一种皂基润滑剂的制备方法
CN100204	一种超低温航空液压油的制备方法
CN100205	一种减速机防漏润滑剂及其制备方法
CN100206	超级电容剩余寿命综合评估方法、系统、装置及介质
CN100207	心电信号的分类方法和装置
CN100208	一种改进的基于小波域稀疏特性的心电信号去噪方法
CN100209	Sm-MOF，含有Sm-MOF的催化剂及其在用煤焦油尾油制备基础油中的用途
CN100210	饱和脂肪族烃化合物组合物、润滑油组合物、以及饱和脂肪族烃化合物组合物的制造方法
CN100211	一种噪声抵消低噪声放大器
CN100212	基于Bi-Hemt工艺的宽带双通道收发放大芯片
CN100213	一种MRI超低噪声放大器
CN100214	一种可降低成本的多级低噪声放大器
CN100215	用于偏置RF电路的系统和方法
CN100216	一种用于射频收发芯片的抗干扰接收机电路
CN100217	一种具有单转差功能的超宽带毫米波低噪声放大器
CN100218	使用振荡器对电极-组织接触进行的估计
CN100219	一种聚烯烃润滑油基础油及其制备方法
CN100220	一种测量电路前置放大器
CN100221	一种与生物燃料兼容的国六发动机油及其制备方法
CN100222	一种油冷电机混合动力减速箱用润滑油及其应用
CN100223	避免雷击导致缝纫机电控无法掉电保存数据的方法及系统
CN100224	笔电适配器自适应设定CPU性能的方法、设备及存储介质
CN100225	一种超宽带微波放大器平衡稳定匹配电路
CN100226	滤波低噪声放大器和接收机
CN100227	一种聚（甲基）丙烯酸酯类粘度指数改进剂及其制备方法和应用
CN100228	一种基于多路心音的冠状动脉狭窄可视化量化方法及设备
CN100229	一种融合多导联注意力机制的ResNeXt网络分类方法
CN100230	含有星型SEP共聚物润滑油粘度指数改性剂及其制备方法
CN100231	润滑油组合物、润滑油组合物的制造方法和无级变速器
CN100232	齿轮润滑剂组合物
CN100233	一种抗干扰网络及其应用
CN100234	放大器芯片
CN100235	一种腔内心电信号重建方法及装置
CN100236	一种基于增强型晶体管的电流复用低噪声放大器
CN100237	一种基于Sigma-Delta调制方式的隔离放大器电路
CN100238	包含长链二元酸的混合物的处理方法及其应用
CN100239	一种面向大功率载板功放的谐波抑制结构
CN100240	一种整机柜服务器电源模块均流控制系统及方法
CN100241	一种基于Lange耦合器的射频低噪声放大器
CN100242	一种复合门控信号的获取方法、装置及磁共振设备
CN100243	一种电源分配方法、系统及存储介质
CN100244	一种差分低噪声放大器及通信设备
CN100245	一种电源故障告警及恢复方法、装置及存储介质
CN100246	基于脉冲神经网络的长时程心电分类方法及系统
CN100247	基于深度神经网络的心电图智能分析方法及系统
CN100248	一种心电信号处理方法、系统、装置及存储介质
CN100249	一种无反射微波放大装置
CN100250	一种控制电路和控制设备
CN100251	控制聚α烯烃的运动粘度的方法
CN100252	诊断报告生成方法、装置、终端设备及可读存储介质
CN100253	一种低噪声放大器的动态偏置方法及系统和动态偏置电路
CN100254	一种心电信号特征提取分类方法及系统
CN100255	一种心电信号处理方法及系统
CN100256	一种OCP粘度指数改进剂
CN100257	一种新能源汽车专用的减振器油
CN100258	电源控制方法、电子设备及服务器
CN100259	失真减轻量化器电路、减轻失真噪声的方法和数字发送机
CN100260	一种计算机的紧急断电保护装置
CN100261	一种基于数据增强与损失加权的不平衡心电样本分类方法
CN100262	一种服务器主备电力切换过程中电源输出稳压系统及方法
CN100263	心电数据处理方法、装置及存储介质
CN100264	心腔内除颤导管系统
CN100265	一种高导电、强润滑镓基液态金属润滑剂的制备方法
CN100266	一种润滑油黏度指数改进剂及其制备方法与应用
CN100267	一种改善涡轮增压器结焦问题的柴油发动机油及制备工艺
CN100268	一种基于自适应阈值的小波去噪方法
CN100269	一种石墨烯基纳米硼酸盐润滑油及其制备方法
CN100270	一种基于CNN神经网络的急性心肌梗死定位自动判别系统
CN100271	一种乳化型液压油组合物
CN100272	基于图片及心搏信息的心电分析方法、装置、设备及介质
CN100273	一种基于人工智能信息安全的计算机断电保护装置
CN100274	一种超长换油周期的齿轮油及其制备方法
CN100275	基线漂移和高频噪声的去除方法、装置、设备和存储介质
CN100276	一种润滑油组合物及其制备方法和应用
CN100277	一种剪切数据用数据多级处理装置
CN100278	一种跨导运算放大电路及滤波电路
CN100279	一种听诊信号处理系统
CN100280	一种心电数据异常检测方法、装置、设备及存储介质
CN100281	一种GPU服务器的隔离供电板
CN100282	心跳间期检测方法及装置
CN100283	一种基于生理状态评估的分期调控方法
CN100284	一种铜箔轧制油及其制备方法和应用
CN100285	一种对称式低噪声隔离分配放大电路
CN100286	一种房颤转子位点的识别方法及系统
CN100287	提取弱信号并抑制强干扰信号的装置及方法
CN100288	一种光学高效芯取磨边液
CN100289	利用再生废矿物油制备润滑油组合物的方法
CN100290	一种放大电路和包括其的放大器
CN100291	一种心电图动态实时分析数据中典型数据的识别方法
CN100292	一种环烷基馏分油中压加氢制低芳变压器油的方法
CN100293	一种基于时频分析的心电信号分析方法
CN100294	一种低碳烯烃经聚合直接合成高性能低粘度基础油的工艺方法
CN100295	一种基于CPLD的多节点服务器的电源控制系统及方法
CN100296	一种多尺度膨胀卷积残差密集网络的心电信号降噪方法
CN100297	一种特高频放大器模块
CN100298	获取光电二极管的击穿电压的电路及方法
CN100299	一种适用于可穿戴设备的ECG信号检测电路
CN100300	自动调节服务器电源均流的方法、装置、终端及存储介质
CN100301	一种基于EEG、BVP和微表情的潜在情绪识别方法
CN100302	一种心电信号分类方法、装置及程序产品、存储介质
CN100303	具有接地电位差补偿的通信设备和系统
CN100304	心电信号滤波方法、装置、计算机设备及存储介质
CN100305	多参数集成麻醉监测与分析系统
CN100306	基于注意力机制的12导联心电图整体分类方法和装置
CN100307	一种心电信号基线滤除方法及装置
CN100308	一种降低电压波动影响的方法、装置及存储介质
CN100309	斩波稳定仪表放大器
CN100310	压力信号调理电路及电子控制器
CN100311	自适应带限数字预失真在宽带卫星通信系统中应用的方法
CN100312	一种射频前端电路
CN100313	一种用于烃类气体合成型压缩机油的组合物及其制备方法
CN100314	一种基于深度卷积残差网络的心律失常分类方法
CN100315	心电数据的识别方法、装置、存储介质和电子设备
CN100316	一种热插拔部件保护方法及装置
CN100317	一种采用部分有源负反馈技术及正反馈技术的超宽带低噪声放大器
CN100318	利用心搏时间序列生成心搏标签序列的处理方法和装置
CN100319	低噪声大带宽放大器
CN100320	一种用于心电信号分析的小波去噪方法
CN100321	一种粮食用空调智能管理系统的信号滤波电路
CN100322	一种采用噪声抵消的无片内电感单转双的低噪声放大器
CN100323	一种备份电池单元的控制电路、方法、装置及存储系统
CN100324	一种心电伪迹信号去除方法及装置
CN100325	一种异构集成射频放大器结构
CN100326	一种低灰高剪切型天然气发动机油及其制备方法
CN100327	一种软硬件结合的嵌入式设备及方法
CN100328	基线漂移曲线的生成方法和装置
CN100329	一种高粘附低电流型含油轴承用润滑油及其制备方法
CN100330	D类放大器及相关芯片和电子装置
CN100331	一种绿色改性植物基衍生油制备低倾点生物润滑油的方法
CN100332	一种溶剂化有机硼酸锂盐的离子液体及其制备方法和应用、一种润滑油
CN100333	一种环保型多工位冷镦油及其制备方法
CN100334	一种服务器备用电源及其使用方法
CN100335	一种CMOS宽带巴伦射频接收前端电路
CN100336	一种伪差分结构低噪声高线性跨阻放大器电路及芯片
CN100337	一种多节点服务器PSU访问及能耗散热管理结构和方法
CN100338	一种基于改进小波变换的QRS波识别方法
CN100339	冷冻机油基础油、冷冻机油及冷冻机用工作流体组合物
CN100340	差分信号放大电路、数字隔离器和数字接收器
CN100341	心率计算设备和方法
CN100342	一种高增益超宽带低噪声放大器
CN100343	低噪声放大电路
CN100344	基于印刷电路板寄生参数反馈的跨阻放大器及红外传感器
CN100345	高频放大电路及半导体装置
CN100346	一种大动态范围的光电探测电路
CN100347	基于改进型注意力机制的多标签心电信号分类方法
CN100348	功率放大器
CN100349	具有输出限制的低噪声放大器
CN100350	一种基于谐波控制的高效双频带功率放大器
CN100351	一种射频功率放大器的增益压缩补偿电路
CN100352	一种诊断电源故障的方法、系统、设备及介质
CN100353	一种右束支阻滞检测方法、装置、设备及存储介质
CN100354	含有无灰TBN分子的润滑剂组合物
CN100355	放大器
CN100356	在人工通气间期进行心电节律辨识的心肺复苏一体化装置及方法
CN100357	一种基于电荷分配网络的宽输入电荷灵敏放大器
CN100358	一种基于改性纳米碳酸钙的润滑油及其制备方法
CN100359	基于正反传播算法获得心拍的主导心率的方法
CN100360	一种抗水型磺酸钙基润滑脂及其制备方法
CN100361	一种心电映射方法及系统
CN100362	心电信号处理方法、装置和相关设备
CN100363	射频收发器、存储介质及功率放大器的偶谐波抑制方法
CN100364	一种适用于汽车发动机具有高清洁及自冷却能力的润滑油组合物
CN100365	一种多功能低温环保耐用润滑油
CN100366	剪切稳定性优异的重负荷车辆齿轮油组合物及其制备方法
CN100367	一种多路TFX结构电源
CN100368	一种低碳烯烃经聚合直接合成高性能高粘度基础油的工艺方法
CN100369	一种心电向量环的绘制方法和装置
CN100370	一种供电控制电路、服务器硬盘背板及其供电电路
CN100371	一种改进型钻具螺纹密封脂及其制备方法
CN100372	一种耐低温抗磨型氟素润滑油
CN100373	一种服务器电源强制均流的方法、系统、设备及介质
CN100374	降低集成电路放大器噪声的电路及其降噪方法
CN100375	含石墨烯-聚合物纤维的植物润滑油
CN100376	一种PSU异常掉电处理系统、方法及装置
CN100377	一种嵌入式网络设备系统升级数据保护装置和方法
CN100378	一种去除振铃的心电信号滤波方法
CN100379	一种电池备份单元的检修方法
CN100380	一种单电源双向电流放大器
CN100381	一种电刺激诱发神经磁信号采集分析装置及方法
CN100382	一种心冲击图信号的处理方法及系统
CN100383	一种基于心电单极导联V6、V9推衍导联V7、V8的方法及设备
CN100384	心律失常分类方法、装置及可读存储介质
CN100385	一种改性氧化石墨烯的制备及其应用
CN100386	NVME SSD Raid卡板载备电系统及控制方法
CN100387	一种环保金属切削液及其制备方法和应用
CN100388	一种宽带MMIC放大器
CN100389	具有光学补偿放大器控制回路的光接收器
CN100390	基于深度学习的心电早搏信号处理方法、模块和装置
CN100391	基于二维图像和注意力机制的心电信号质量评估方法
CN100392	一种压控振荡器增益放大方法与电路、锁相环及时钟芯片
CN100393	变速器用润滑油组合物、其制造方法、使用了变速器用润滑油组合物的润滑方法及变速器
CN100394	使用隧穿电流的放大器偏置控制
CN100395	一种时钟电源杂散优化系统及其校准、标定及优化方法
CN100396	差分噪声消除
CN100397	一种被动式射频开关电路、射频控制系统及其控制方法
CN100398	一种6GHz到18GHz超宽带高性能低噪声放大器芯片
CN100399	心电信号质量评估方法
CN100400	一种高精度的线性霍尔传感器读出电路
CN100401	不含硼酸酯的低粘度功能流体组合物
CN100402	水基抗燃液压液
CN100403	主板电源电路、电源健康管控方法、电子设备及存储介质
CN100404	一种射频低噪声放大器
CN100405	心电数据或脑电数据的处理及检测方法、存储介质
CN100406	一种耐低温柴油发动机油组合物
CN100407	一种低噪声系数超宽带的低噪声放大器
CN100408	一种动态单导心电图中异常心电信号识别方法及系统
CN100409	一种心电信号类别检测方法、装置及存储介质
CN100410	一种心脏疲劳程度测评方法及装置
CN100411	一种黏度指数改进剂及其制备方法、用途
CN100412	一种低噪声放大器
CN100413	一种基于区块链的桥梁施工监控系统
CN100414	一种水压凿岩机动力介质优化液及其制备工艺
CN100415	一种基于黑磷量子点的低成本钛合金水基切削液及其制备方法
CN100416	一种基于CMOS实现的Ka频段低噪声放大器
CN100417	一种可热插拔的服务器BBU装置
CN100418	一种PSU输出电压控制方法、系统及相关组件
CN100419	一种基于用户体验度量的数据可视化方法
CN100420	一种改善谐波的功率控制装置、功率放大器及设备
CN100421	甲醇发动机润滑油组合物及其制备方法
CN100422	一种发动机保护涂层液及其制备方法
CN100423	一种铝钡基润滑脂组合物及制备方法和应用
CN100424	含有星型的马来酸酐接枝三元乙丙共聚物润滑油粘度指数改进剂及其制备方法
CN100425	一种基于能耗中断概率的手机终端优化方法
CN100426	一种基于小波能量的心电信号去噪算法
CN100427	一种用于汽车发动机的润滑油及其制备方法和应用
CN100428	一种聚烯烃合成油的制备方法
CN100429	一种便携式终端设备
CN100430	一种基于过滤式特征选择的情绪识别方法及系统
CN100431	用于将电池与堆叠式集成电路管芯元件集成的系统和方法
CN100432	噪声检测电路
CN100433	一种上电时序控制电路及电子设备
CN100434	降功耗的方法、系统、计算机设备及存储介质
CN100435	睡眠呼吸暂停综合症识别装置
CN100436	一种具有自适应失调调节功能的斩波电路
CN100437	一种级联的分布式低噪声放大器
CN100438	一种基于闭环负反馈的UPWM失真校正方法及该方法构建的数字UPWM调制器
CN100439	多频段可调增益的低噪声放大器
CN100440	服务器备电功能优化方法、系统、终端及存储介质
CN100441	高粘度指数梳形聚合物粘度改进剂和使用其改变润滑剂粘度的方法
CN100442	含石墨烯-无机非金属纤维的植物复合机油
CN100443	一种压缩机油及其应用
CN100444	一种多物理场疲劳干预方法和装置
CN100445	大功率电源动态电流控制方法、装置、设备和存储介质
CN100446	一种采用噪声消除技术的增益可调低噪声放大器
CN100447	用于降低噪声的复制电路块交换的系统和方法
CN100448	具有烟炱处理性质的接枝聚合物
CN100449	一种用于风力发电液压系统的合成液压油及其制备方法
CN100450	含水量检测装置
CN100451	高跨导低输入电容轨到轨运放
CN100452	高频电路
CN100453	一种基于大数据电网安全管理信息系统
CN100454	一种用于铁路道岔的润滑剂及其制备方法和应用
CN100455	基于稀疏表示和深度级联的心电信号身份识别方法和系统
CN100456	一种5G基站的宽带高线性度低噪声驱动放大器
CN100457	用于心电数据压缩的方法、终端及存储介质
CN100458	情感识别的处理方法、装置、设备及存储介质
CN100459	一种耐过压浪涌电路
CN100460	一种提高噪声性能的电容耦合型斩波仪表放大器
CN100461	一种低摩擦系数的全合成工业齿轮油组合物及其应用
CN100462	一种开关机控制方法、装置、设备及计算机可读存储介质
CN100463	一种共栅放大电路、低噪声放大器以及一种超宽带接收机
CN100464	心脏康复设备及其控制方法、装置、存储介质
CN100465	一种仪表电路及采用该电路的船舶仪表
CN100466	一种四冲程摩托车发动机润滑油组合物及其制备方法
CN100467	一种Ku波段低功耗CMOS低噪声放大器电路
CN100468	一种超低功耗宽带低噪声放大器
CN100469	基于多特征融合与Stacking-DWKNN算法的心律失常分类方法
CN100470	组合型润滑油的改进剂及其制备方法
CN100471	一种用于备用供电的计算机电源系统
CN100472	一种基于多尺寸卷积核的深度神经网络实现心电异常检测分类方法
CN100473	心室肥大的检测方法、装置、存储介质和处理器
CN100474	一种心搏分类结果的生成方法和装置
CN100475	一种多频带低功耗低噪声放大器
CN100476	利用模糊化相似性模板的心电信号类型识别方法和装置
CN100477	一种计算机集成装置
CN100478	一种甲醇发动机专用纳米节能润滑油及其制备方法
CN100479	一种超小粒径硬脂酸钙的合成方法
CN100480	交直流输出不间断电源电路
CN100481	心电信息动态监护方法和动态监护系统
CN100482	一种动态电源管理系统
CN100483	心电图数据的特征图像生成与识别方法、设备及存储介质
CN100484	一种增益增强的运算放大器
CN100485	一种双频耦合低噪声放大电路及放大器
CN100486	一种超高粘度指数的高性能发动机油及制备方法
CN100487	基于深度学习与心电信号的抑郁症识别系统、介质及设备
CN100488	一种基于迁移学习的多特征融合疲劳检测方法
CN100489	一种润滑油改性剂以及改性润滑油
CN100490	音频功率放大器和电子设备
CN100491	一种低粘度8AT自动变速箱专用油组合物
CN100492	一种锁存器类放大器失调消除方法及失调消除电路
CN100493	一种润滑油润滑脂及其加工方法
CN100494	一种心电图P波检测方法、分析装置以及存储介质
CN100495	一种提高心电图监测的准确性的方法和装置
CN100496	一种基于聚蓖麻油酸改性的偏苯三甲酸酯润滑油基础油及其制备方法
CN100497	一种适用于宽带接收机的单端无电感低噪声放大器
CN100498	一种盾尾密封油脂及其制造方法
CN100499	服务器电源及其控制方法
CN100500	一种基于信息增益的心肺耦合关系分析方法
CN100501	基于组卷积残差网络和长短期记忆网络的房颤识别方法
CN100502	一种心电信号的质量评估方法
CN100503	一种高性能、多尺度润滑的镓基液态金属润滑剂及其制备方法
CN100504	脉冲宽度调变放大器、相关芯片及信号宽度调变的方法
CN100505	心电信号的时频双条形码特征图像生成方法及存储介质
CN100506	一种电源控制的方法、装置、服务器及存储介质
CN100507	心电信号识别方法、装置、计算机设备和存储介质
CN100508	一种多功能防锈油的制备方法及多功能防锈油
CN100509	睡眠可持续性检测量化及辅助干预的方法、系统和装置
CN100510	数据保护方法、装置及存储介质
CN100511	一种S波段宽带MMIC低噪声放大器
CN100512	一种防磨损、节省燃油的发动机润滑油及其制备方法
CN100513	一种可变增益和带宽稳定的微小幅度信号预放大电路
CN100514	双环路跨阻放大器
CN100515	应用于可穿戴干电极心电监测的低噪声高输入阻抗放大器
CN100516	一种睡眠趋稳性检测量化及辅助干预的方法、系统和装置
CN100517	异常指标的捕捉方法、装置、设备和介质
CN100518	一种可变增益低噪声放大器
CN100519	具有可调谐输入电阻的跨阻放大器（TIA）
CN100520	心电信号的分析方法、装置、存储介质和处理器
CN100521	一种应用于FTTH光接收机的数控可变增益放大器芯片
CN100522	润滑脂组合物
CN100523	高频放大电路、高频前端电路以及通信装置
CN100524	一种含氧化亚铜复合改性石墨烯的润滑油的制备方法
CN100525	多适应性可切换片上低噪声放大器及工作方法
CN100526	具有均匀结构的α烯烃低聚物及其制备方法
CN100527	一种刀片式服务器功率控制系统、方法和刀片式服务器
CN100528	表现出独特分支结构的烃混合物
CN100529	二元乙丙橡胶、提高二元乙丙橡胶剪切稳定性的方法及其应用
CN100530	斩波放大装置及方法
